Nome / Razão Social;Vínculo com o RGP;Número no RGP;cidade;UF;Tipo de Pessoa
41.956.777 **********************;Indústria de pesca;PAI00042010 ;Salinópolis,PA,Brasil;PA;Pessoa Jurídica
47.219.981 ************************;Indústria de pesca;CEI00041216 ;Fortaleza,CE,Brasil;CE;Pessoa Jurídica
52.141.288 ********************************;Indústria de pesca;SPI00043004 ;Severínia,SP,Brasil;SP;Pessoa Jurídica
53.577.455 ****************;Indústria de pesca;SPI00042946 ;Igaratá,SP,Brasil;SP;Pessoa Jurídica
56.051.950 *************************;Indústria de pesca;PAI00043288 ;Abaetetuba,PA,Brasil;PA;Pessoa Jurídica
57.815.782 ****;Indústria de pesca;PAI00042978 ;Belém,PA,Brasil;PA;Pessoa Jurídica
60.524.571 ****************************;Indústria de pesca;PRI00043886 ;Cambé,PR,Brasil;PR;Pessoa Jurídica
A. ********************;Indústria de pesca;BAI00034537 ;Porto Seguro,BA,Brasil;BA;Pessoa Jurídica
A ****************;Indústria de pesca;BAI00026844 ;Prado,BA,Brasil;BA;Pessoa Jurídica
A ****************;Indústria de pesca;BAI00026844 ;Prado,BA,Brasil;BA;Pessoa Jurídica
A.C.P. *******;Indústria de pesca;AMI00040938 ;Juruá,AM,Brasil;AM;Pessoa Jurídica
ACQUA *************************************************;Indústria de pesca;SPI00043054 ;São Paulo,SP,Brasil;SP;Pessoa Jurídica
ACQUA ***************************************;Indústria de pesca;RJI00044000 ;Guapimirim,RJ,Brasil;RJ;Pessoa Jurídica
ACQUA *******************************************;Indústria de pesca;SPI00033937 ;Bauru,SP,Brasil;SP;Pessoa Jurídica
AD **********************;Indústria de pesca;SCI00033987 ;Governador Celso Ramos,SC,Brasil;SC;Pessoa Jurídica
ADRIANA ****************;Indústria de pesca, Licença de aquicultor;PEI00042824,PEU11555388 ;Recife,PE,Brasil;PE;Pessoa Jurídica
ADRIANO *******************;Indústria de pesca, Licença de aquicultor;SPI00042208,SPU11577899 ;São Paulo,SP,Brasil;SP;Pessoa Jurídica
ADSON ****************;Indústria de pesca;AMI00041410 ;Manaus,AM,Brasil;AM;Pessoa Jurídica
ADW ******************************;Indústria de pesca, Licença de aquicultor;SPI00042084,SPU11579971 ;São Paulo,SP,Brasil;SP;Pessoa Jurídica
AGRIMAR ********************************************;Indústria de pesca;SPI00033857 ;São Paulo,SP,Brasil;SP;Pessoa Jurídica
AGROFORTE *************************************;Indústria de pesca;SCI00034247 ;Biguaçu,SC,Brasil;SC;Pessoa Jurídica
AGROFORTE *************************************;Indústria de pesca;SCI00034247 ;Biguaçu,SC,Brasil;SC;Pessoa Jurídica
AGROINDÚSTRIA ***************************;Indústria de pesca, Registro de aquicultor;TOI00044516,TOR11434460 ;Brejinho de Nazaré,TO,Brasil;TO;Pessoa Jurídica
AGROINDÚSTRIA ***************************;Indústria de pesca, Registro de aquicultor;TOI00044516,TOR11434460 ;Brejinho de Nazaré,TO,Brasil;TO;Pessoa Jurídica
AGRO-INDÚSTRIA *****************************;Indústria de pesca;AMI00039309 ;Manaus,AM,Brasil;AM;Pessoa Jurídica
AGROQUIMICA **************************************;Indústria de pesca;CEI00036457 ;Eusébio,CE,Brasil;CE;Pessoa Jurídica
A ******************;Indústria de pesca;AMI00039841 ;Manacapuru,AM,Brasil;AM;Pessoa Jurídica
AKIRA ******************************;Indústria de pesca;SPI00034167 ;São Paulo,SP,Brasil;SP;Pessoa Jurídica
ALAOR ********************;Indústria de pesca;PRI00036355 ;Foz do Iguaçu,PR,Brasil;PR;Pessoa Jurídica
ALBERTO ***************;Indústria de pesca;BAI00025060 ;Nova Viçosa,BA,Brasil;BA;Pessoa Jurídica
ALCINEIA ******************;Indústria de pesca;SCI00034019 ;Passo de Torres,SC,Brasil;SC;Pessoa Jurídica
ALICE *********************;Indústria de pesca;SPI00042744 ;Mogi das Cruzes,SP,Brasil;SP;Pessoa Jurídica
AL ******************************************;Indústria de pesca;PRI00037579 ;Guaratuba,PR,Brasil;PR;Pessoa Jurídica
ALTO *******************************;Indústria de pesca;SPI00033179 ;Cananéia,SP,Brasil;SP;Pessoa Jurídica
ALTOMAR ************************;Indústria de pesca;CEI00034229 ;Fortaleza,CE,Brasil;CE;Pessoa Jurídica
ALVES *************************;Indústria de pesca;PAI00020178 ;Vigia,PA,Brasil;PA;Pessoa Jurídica
