RG,nome-disciplina
361204875,Algoritmos e Estruturas de Dados
427810632,Fisica Basica I
012345866,Algoritmos e Estruturas de Dados
012345866,Quimica Geral
572306180,Algoritmos e Estruturas de Dados
410365282,Fisica Basica I
531076829,Algoritmos e Estruturas de Dados
612057835,Algoritmos e Estruturas de Dados
385624013,Fisica Basica I
758413269,Calculo II
251684738,Algoritmos e Estruturas de Dados
680213478,Calculo II
736425184,Fisica Basica I
380657120,Algoritmos e Estruturas de Dados
01652438X,Algoritmos e Estruturas de Dados
648720512,Quimica Geral
026187541,Fisica Basica I
736425184,Calculo II
801465278,Quimica Geral
254637802,Fisica Basica I
21308465X,Fisica Basica I
420378157,Fisica Basica I
082471356,Fisica Basica I
721053683,Calculo II
846372058,Quimica Geral
32106785X,Quimica Geral
587230642,Fisica Basica I
306247586,Calculo II
821047656,Fisica Basica I
358140274,Quimica Geral
457831261,Fisica Basica I
358140274,Fisica Basica I
827510469,Quimica Geral
264781053,Quimica Geral
624087359,Algoritmos e Estruturas de Dados
76130258X,Calculo II
531076829,Calculo II
235408670,Fisica Basica I
013427684,Fisica Basica I
384201751,Fisica Basica I
65130278X,Algoritmos e Estruturas de Dados
238510748,Quimica Geral
837540124,Fisica Basica I
251708639,Algoritmos e Estruturas de Dados
762803514,Algoritmos e Estruturas de Dados
236851743,Quimica Geral
167485301,Calculo II
610725385,Algoritmos e Estruturas de Dados
465708316,Algoritmos e Estruturas de Dados
568031726,Quimica Geral
654730210,Fisica Basica I
251708639,Calculo II
480531274,Algoritmos e Estruturas de Dados
420378157,Calculo II
817236041,Calculo II
148375625,Fisica Basica I
156783022,Calculo II
420567318,Fisica Basica I
235408670,Calculo II
674285311,Fisica Basica I
385624013,Algoritmos e Estruturas de Dados
561802373,Calculo II
052467132,Fisica Basica I
358140274,Calculo II
125067380,Fisica Basica I
720853618,Fisica Basica I
15726483X,Fisica Basica I
571023642,Calculo II
148375625,Algoritmos e Estruturas de Dados
571023642,Fisica Basica I
528674304,Calculo II
124837505,Algoritmos e Estruturas de Dados
302815740,Fisica Basica I
380657120,Quimica Geral
610827546,Quimica Geral
148375625,Calculo II
548720319,Quimica Geral
863275047,Calculo II
32106785X,Fisica Basica I
827341052,Fisica Basica I
028567134,Fisica Basica I
382160757,Quimica Geral
80146237X,Algoritmos e Estruturas de Dados
408572619,Algoritmos e Estruturas de Dados
142076533,Fisica Basica I
261547082,Algoritmos e Estruturas de Dados
082471356,Quimica Geral
624087359,Fisica Basica I
624087359,Calculo II
817403528,Fisica Basica I
