matricula,rg
2025044908,3100f1b0.77e
2025042531,2bbc82ef.63c
2025025701,44154488.6c1
2025025439,59b07e6c.168
2025011574,5b0421ba.4eb
2025013220,83998a30.511
2025046123,5fbc9707.e1d
2025002816,cd30fab8.558
2025027098,b0634530.2ab
2025023014,548f629c.a5d
2025037869,72b83d55.cbd
2025011358,1e92169e.45f
2025013593,c340ce10.a87
2025009135,5d0d74e3.886
2025008681,06fe52ea.849
2025038785,725bf742.058
2025024685,91221c55.75d
2025004367,0870b620.de4
2025014904,60ad4808.44d
2025025418,41ce2fdc.00c
2025016778,965b330b.e15
2025011159,ebfb7db4.dff
2025001986,6136c3ad.1bf
2025035775,5737ae19.824
2025030749,1efa9d4a.892
2025029322,a93f71f1.f51
2025015452,4e996419.111
2025048692,33f85659.8ab
2025033983,c51730ff.1df
2025000502,c496fd27.aa8
2025035941,7bad3d45.bdf
2025001432,f9e7ff35.68e
2025015293,ae22afcc.50a
2025038155,dc63207d.a80
2025009532,de68977c.76c
2025012022,79d3aa05.bf8
2025035817,95ea53c3.429
2025048805,d97e20ec.166
2025041834,a797f776.c68
2025006605,2f81fecd.997
2025008774,97fa7d62.583
2025000416,75aeeccd.a62
2025042778,98bd04fc.d12
2025033198,9a53e147.d84
2025021523,6252314c.194
2025017631,b4449cb3.2dd
2025022490,9d08d717.05d
2025009629,41d3ebb5.a03
2025043057,a82fa62a.cdb
2025026307,0fea52f3.c40
2025017549,3cc8b284.910
2025022979,c2980afe.e2a
2025020316,40450081.28f
2025015390,d449b3f5.fcf
2025029609,93cae483.5ce
2025025869,fa456647.e80
2025045762,aca34bfb.54c
2025037702,37b630e3.9b5
2025046117,039172f1.343
2025016096,089d3cf5.e94
2025008906,9abfa0d6.b7d
2025030927,6af138d4.95c
2025038023,ba1121dd.19c
2025031385,021195c3.6a0
2025047481,cf48eb60.700
2025022968,1116fab9.186
2025033784,0df61389.265
2025013558,4c3ecdbe.9ff
2025041251,51d09421.5e8
2025034250,4c873c62.072
2025009398,9a84b0e9.17f
2025034732,69e763aa.d87
2025042111,39638bd9.2c0
2025036376,79ad757d.5dd
2025041990,1fbdebfb.ffb
2025016184,b038aae0.543
2025042650,d5b5a8eb.aea
2025010805,c054a111.c93
2025028016,a11ac744.2a8
2025045293,e6eab676.6a3
2025044970,863aa508.e86
2025013031,d3b1fa95.a4f
2025031556,f9343da8.53d
2025032155,e2ac48a3.275
2025038016,ffbcd31d.ae8
2025014383,66bb5123.578
2025040217,57f1100a.5a2
2025020808,ec0db727.629
2025035625,289080c9.f95
2025042258,82ffdd7a.ef4
2025024156,c588b9da.a01
2025029462,8150e82a.2c9
2025049375,d536ddca.cf8
2025045899,2889ecc5.119
2025019340,d946c2f3.741
2025015542,a554d309.14a
2025029065,f70c079f.bb2
2025031151,f57b0774.d32
2025003121,95d408ee.9f3
2025040227,4620d1cc.286
2025029696,9ba66e3f.910
2025035037,c26bda4b.290
2025025402,ce95c96a.216
2025028477,c4d14d2d.0a1
2025000171,a2482855.b2f
2025028074,48db44bd.f50
2025013320,ae1a1012.251
2025009387,fa1bd2ca.c78
2025035133,e83a764f.dda
2025040688,757e8926.173
2025021909,e318096c.415
2025030420,9a5c02b8.db6
2025013318,4a1d2554.3cb
2025025788,f09abbe1.dfc
2025010698,a1b4aaf3.7a4
2025032878,303e2b6d.766
2025029958,29be432b.7c4
2025011975,efb8874a.425
2025024483,2d3bdc01.d32
2025037606,8156319d.f5e
2025015572,937aeeff.a1b
2025040657,5da0ecf4.41d
2025037747,0987a179.9c6
2025022262,6ee05b3c.d0c
2025037001,10311b38.349
2025006072,2a231ee9.704
2025018359,f6d5922d.6d8
2025024427,4722f89d.abf
2025017448,4f4b0f1a.89c
2025043397,b2e858bf.b13
2025038426,f636baa2.ae8
2025030593,0ecbacf9.9b4
2025007136,8c384b69.c42
2025013119,3bd03199.be3
2025005767,d14d479c.2ce
2025004825,5128dd75.80a
2025043436,37bc3921.d0b
2025025170,e5d88f2c.dc0
2025042460,12bd509c.bcd
2025042771,1e6c3d0b.4f5
2025007427,16c5f300.e8f
2025002697,d6a97a95.f7d
2025010534,0f5d3712.6bf
2025010381,e71798bd.349
2025005933,9342dfad.f3f
2025047639,ea45f574.eba
2025049679,b89ebd8a.336
2025006888,df0b926d.24d
2025013133,2b59cbde.b9c
2025000602,cb6b0c48.7eb
2025017121,c6df2f1f.6a9
2025029743,bd0115ad.7a4
2025016085,1881fd2a.22c
2025044428,24bd5fe2.53a
2025036126,1de5342c.449
2025029341,24388a28.4c6
2025003321,119b6d71.ab0
2025015254,c010ef40.3ca
2025030088,0ffc55a9.2b7
2025012894,84c5f811.9bd
2025001733,205f6c4a.36e
2025045337,57f81e23.85a
2025049457,888e49a0.52b
2025049995,8d8d3619.a14
2025026363,a6545313.742
2025037133,89b8adb1.eae
2025022517,6122ff2d.170
2025018410,22ca97b7.955
2025013325,bf0c8752.e2a
2025010450,559ed6c7.f37
2025017644,1e7fe4c8.608
2025022313,61223f58.1b4
2025005398,0ea64019.492
2025044279,0f52cb79.580
2025004358,cc3614ac.7c9
2025011186,6867fef7.cd7
2025006193,93a352b2.345
2025031527,f5a134f4.794
2025027713,4bd5ef4b.3b7
2025016077,f6f47375.be5
2025008375,1203f7eb.84a
2025005249,a959a3a6.68b
2025036008,88e084ca.dc0
2025014086,0d9384d9.cc2
2025047953,d3023654.a5b
2025035233,edc509be.834
2025023600,4c7bfe41.282
2025021992,bcf819ad.2fc
2025034857,f592fe44.897
2025049371,9cae0580.090
2025043309,db82f40f.088
2025027604,46751920.38d
2025028150,44dcc7c7.a74
2025023268,03abc943.6b5
2025026191,a611fb8d.a0b
2025044073,02c86d1f.ba0
2025025994,a2278268.46c
2025048220,ef432efd.7c8
2025007103,b01e7f24.080
2025033336,ff823b1e.185
2025031136,1f8b152a.1b7
2025001896,b8e8f7d1.ff7
2025033101,41df45b6.e6b
2025010690,c63f2416.68c
2025002043,a8a7a21b.800
2025041982,8396f31b.488
2025016368,a3177df4.a9f
2025036145,dbd8d57d.672
2025038316,f2ccadb5.817
2025003381,643a3b25.4cb
2025015221,116b6951.35f
2025044307,9e76ecab.52b
2025048140,2028fc32.ab7
2025015358,5fd35768.7fe
2025030163,949f1ec8.2bb
2025019880,a2ff16ad.aef
2025006708,b909f58a.18d
2025014402,178fd116.699
2025022078,e226d983.950
2025021017,591e13a4.a3c
2025026234,1d251ddf.eaa
2025022343,017a2d87.ba1
2025019525,7e10d125.49c
2025018669,83c63fb4.5b7
2025025558,7aea349e.09d
2025038442,6a5ab313.4ff
2025037138,a425aac9.0ee
2025008496,4c65d72a.f6a
2025030827,278973d0.6f2
2025044667,bd561742.438
2025001816,e08edb2c.5cc
2025012070,694deb9e.49c
2025025560,d6f21e1e.657
2025009094,16fb8783.0d3
2025021174,636b2170.e0c
2025002137,189c06d2.e60
2025030339,394074e5.583
2025043064,2ddeb66b.9f8
2025035673,26e80702.f5c
2025032375,69cd90d7.006
2025048278,3a17f166.f53
2025002615,daa35573.476
