rg,cpf
3100f1b0.77e,f731fae7.5254.
2bbc82ef.63c,989038a1.39ff.
44154488.6c1,b8b65368.a2b2.
59b07e6c.168,28d70454.2ea7.
5b0421ba.4eb,0f2b8817.b0a2.
83998a30.511,b870dda6.cfd3.
5fbc9707.e1d,6e82442d.2acd.
cd30fab8.558,bd78f7cc.229d.
b0634530.2ab,55e2f4d7.b398.
548f629c.a5d,d138be9d.7da8.
72b83d55.cbd,01881ee8.a673.
1e92169e.45f,7ded05dc.cc5d.
c340ce10.a87,cb608f28.5a93.
5d0d74e3.886,807870af.69aa.
06fe52ea.849,9ddf5dec.16b4.
725bf742.058,95d9e5e9.ff55.
91221c55.75d,d8164f49.3208.
0870b620.de4,fddf541c.a9c7.
60ad4808.44d,0d733cfd.765f.
41ce2fdc.00c,fc5d21fd.7594.
965b330b.e15,877b245b.f57f.
ebfb7db4.dff,e3430b8d.e5f3.
6136c3ad.1bf,287c186f.53ca.
5737ae19.824,d21480c1.d481.
1efa9d4a.892,c4eca0a9.7fc1.
a93f71f1.f51,87b94984.2256.
4e996419.111,b1392b1a.3726.
33f85659.8ab,acd8730c.23f3.
c51730ff.1df,49228a76.ccc2.
c496fd27.aa8,51a0b715.6072.
7bad3d45.bdf,acd26a0f.a227.
f9e7ff35.68e,c5923ce5.24aa.
ae22afcc.50a,b1f942b3.03fc.
dc63207d.a80,5d393248.f74e.
de68977c.76c,688f8252.5180.
79d3aa05.bf8,d7daac90.f638.
95ea53c3.429,1946af3f.5322.
d97e20ec.166,9643ee32.e4de.
a797f776.c68,4d81b707.57cf.
2f81fecd.997,cccf22c3.2ff6.
97fa7d62.583,2878ebec.33d7.
75aeeccd.a62,1d72f986.698f.
98bd04fc.d12,48d7e84c.0926.
9a53e147.d84,9cd3899a.b95a.
6252314c.194,7752336f.2f62.
b4449cb3.2dd,26318124.87bb.
9d08d717.05d,31c094e4.7cfd.
41d3ebb5.a03,8a1317c9.024b.
a82fa62a.cdb,b58c0f87.c05d.
0fea52f3.c40,05d24174.f360.
3cc8b284.910,3e04b341.4e92.
c2980afe.e2a,fee1fbb7.c8f7.
40450081.28f,c2f8b635.1f8b.
d449b3f5.fcf,66146554.1b45.
93cae483.5ce,4244ccc9.4d59.
fa456647.e80,02ec402b.9b62.
aca34bfb.54c,9620015d.8cc5.
37b630e3.9b5,11b8ab11.12a3.
039172f1.343,3874ff45.fb39.
089d3cf5.e94,fd529eeb.6a9a.
9abfa0d6.b7d,400dc6d5.61f5.
6af138d4.95c,afc71f62.2b21.
ba1121dd.19c,9eec6f00.4697.
021195c3.6a0,c1afddb2.8761.
cf48eb60.700,b1103953.ce8e.
1116fab9.186,0976e630.7002.
0df61389.265,94814332.14e6.
4c3ecdbe.9ff,cf1e28a8.e914.
51d09421.5e8,44a4fc18.4053.
4c873c62.072,e63a90ca.6b35.
9a84b0e9.17f,0e52a571.56f1.
69e763aa.d87,94fcbef7.5aff.
39638bd9.2c0,a7267c8a.3b5b.
79ad757d.5dd,466dd8ef.a159.
1fbdebfb.ffb,a37129d7.528f.
b038aae0.543,37b848f9.fb25.
d5b5a8eb.aea,5c8d835d.eab2.
c054a111.c93,09f2f08e.a993.
a11ac744.2a8,caa43747.c2a2.
e6eab676.6a3,e892f588.810b.
863aa508.e86,b0c8d51d.bd43.
d3b1fa95.a4f,82fb86f7.5790.
f9343da8.53d,1d7e9d25.354f.
e2ac48a3.275,0de68ed3.7db7.
ffbcd31d.ae8,9fbebab6.1ca3.
66bb5123.578,0c5c3e55.eb5e.
57f1100a.5a2,86312c9f.9edd.
ec0db727.629,b5c06b3f.60f9.
289080c9.f95,c7b6c379.95c0.
82ffdd7a.ef4,68265033.f37e.
c588b9da.a01,f70b8741.9305.
8150e82a.2c9,6c0778d2.30b7.
d536ddca.cf8,23619d57.338e.
2889ecc5.119,598ee30e.9319.
d946c2f3.741,d8ba1dce.4883.
a554d309.14a,8c221cc4.d4a0.
f70c079f.bb2,2651aeab.643a.
f57b0774.d32,9eb64442.ed77.
95d408ee.9f3,3b033a5c.407b.
4620d1cc.286,18e0cc71.15fa.
9ba66e3f.910,73b9c1cc.0b02.
c26bda4b.290,3fc9f819.cf16.
