placa,CPF,data-aquisição
VAJ-3R18,256.897.031-68,2025-03-13
ELB-4I56,791.506.834-20,2020-12-29
NFD-4G64,578.694.201-58,2023-01-01
SFV-5J31,940.375.182-79,2023-09-26
JNF-3O34,256.418.937-73,2023-03-12
VOA-6T78,498.023.716-96,2021-05-10
WVQ-2O54,612.840.359-05,2025-03-11
GOG-9H89,571.396.824-37,2022-08-27
RCC-9V71,792.168.543-91,2023-03-31
CRP-1N59,021.739.546-52,2021-09-18
PNS-5N46,876.409.325-56,2025-05-28
UIR-7L88,043.567.891-48,2025-08-04
JJH-5K27,021.739.546-52,2025-07-16
DGC-9J02,430.165.792-43,2020-11-02
TAI-3T84,130.652.947-61,2024-12-01
ZKB-9S03,792.168.543-91,2021-12-31
HGE-9L43,502.897.146-30,2023-10-01
HVX-7S80,502.897.146-30,2023-03-17
POG-0M18,096.412.587-02,2024-07-05
WYQ-1C92,706.583.219-86,2021-12-31
ACQ-6T43,894.051.267-76,2025-06-03
NWQ-8H77,549.630.128-98,2024-06-28
CEZ-7W29,951.823.076-59,2022-02-13
GIJ-0M28,570.936.814-84,2021-02-23
OEN-3S64,291.630.875-02,2022-01-01
JEH-5N48,608.294.513-15,2025-02-22
NFG-8R55,502.897.146-30,2024-03-07
TNL-4U66,961.450.387-48,2023-04-28
TYS-7S80,608.294.513-15,2024-07-15
HOP-1F43,037.214.689-96,2021-12-10
MTM-8W30,326.081.475-26,2021-08-29
XOE-9A57,859.471.203-05,2022-05-12
UTW-0H95,031.584.769-75,2025-05-14
ZQO-3Y79,502.897.146-30,2021-10-05
FWG-0K90,085.214.673-62,2024-10-14
EHP-1G66,974.638.215-28,2025-04-13
EVR-0Q02,467.098.512-49,2025-10-07
PCR-9N23,093.784.152-88,2022-03-09
XZU-4I35,037.895.124-60,2025-04-09
NDP-0Z04,382.941.605-98,2025-09-23
JIU-2B39,596.412.307-43,2022-03-09
CIF-8D42,345.960.172-80,2022-08-20
DGK-4H38,758.149.306-75,2022-02-08
YWN-1X94,659.341.780-75,2023-09-14
ALK-8J86,830.641.579-57,2024-05-26
JQC-7G85,819.563.420-60,2022-08-06
BWF-8B31,096.412.587-02,2021-12-05
QHE-9L91,762.039.185-12,2022-06-23
HMI-8B43,620.498.357-10,2023-04-11
DGG-8Z86,502.938.176-77,2023-07-28
BGK-3C60,430.691.578-66,2023-04-23
PAD-3I84,876.409.325-56,2021-04-15
TBV-5F77,835.679.041-75,2021-10-05
GUI-1B65,706.583.219-86,2021-03-09
DAE-8S13,549.630.128-98,2021-08-16
WDN-5I96,529.830.146-06,2025-09-25
KNJ-9Q88,549.630.128-98,2021-12-04
OFB-2M64,382.941.605-98,2023-07-17
OKL-1L30,382.051.697-21,2024-04-18
UWI-8A10,529.830.146-06,2022-01-14
PIV-2V75,065.943.187-48,2021-12-21
KTQ-6B95,706.583.219-86,2021-06-09
ULF-6N07,037.214.689-96,2023-09-10
MWH-3P22,458.762.319-91,2021-04-05
ZWM-1N75,291.630.875-02,2022-06-15
YZH-5Y96,037.214.689-96,2022-11-07
SRJ-0D99,835.679.041-75,2024-05-25
NNK-2T04,061.849.235-60,2022-03-17
HYF-8K48,614.728.059-76,2025-07-10
NWK-8N34,876.409.325-56,2021-10-08
WSD-6S46,620.498.357-10,2024-09-21
BSU-5R26,467.098.512-49,2025-07-08
LNB-1R70,476.098.253-10,2025-07-24
HMS-4A62,326.978.051-68,2024-12-13
DXR-7N30,508.931.476-48,2021-06-25
LFV-6S07,415.076.283-07,2025-07-05
ZOT-4H28,604.982.751-67,2024-05-09
FNN-3A07,137.946.208-87,2023-05-13
MMN-0N42,329.476.510-06,2021-05-07
IQC-1U42,138.692.450-42,2021-03-08
WGK-5L84,467.098.512-49,2022-10-02
TTH-9M97,758.149.306-75,2025-01-10
DWQ-9G86,031.584.769-75,2023-06-05
VJP-1X40,263.719.084-13,2023-02-27
AGD-4E96,382.941.605-98,2021-08-27
TQV-6P91,819.563.420-60,2023-09-10
VDU-2R03,435.968.217-46,2024-03-02
UDK-2S15,274.698.150-58,2022-07-16
SOL-1X29,604.982.751-67,2022-08-22
TCQ-1X77,430.165.792-43,2021-04-21
XWL-2V72,961.450.387-48,2022-10-19
VXI-5N46,724.693.150-34,2024-08-05
WSQ-2E49,076.145.389-00,2025-04-06
ZEH-0C81,687.302.954-83,2025-05-22
LKI-7H30,201.587.943-97,2025-09-25
NCD-6S72,021.739.546-52,2024-08-12
JEH-2C23,894.051.267-76,2024-03-04
ETV-4G13,795.483.012-88,2024-12-12
AJA-1X57,421.609.835-51,2022-07-02
UHF-9U34,502.938.176-77,2021-12-17
